Year,Age,Team,Lg,G,PA,AB,Runs,Hits,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,POS,Award
2008,21,SFG,NL,41,154,145,24,50,10,1,3,24,0,0,4,14,0.345,0.357,0.49,0.847,118,71,6,1,0,4,1,352/H,
2009,22,SFG,NL,153,633,572,79,189,44,5,25,90,5,5,52,83,0.33,0.387,0.556,0.943,144,318,10,4,0,5,13,*53/H2D,-MVP 7.00
2010,23,SFG,NL,152,616,563,61,151,34,3,13,63,3,2,47,81,0.268,0.323,0.409,0.732,99,230,26,1,0,5,12,*53/H,
2011,24,SFG,NL,117,466,426,55,134,26,3,23,70,2,4,32,63,0.315,0.357,0.552,0.909,155,235,12,0,1,7,9,5/H3D,"AS,MVP-17"
2012,25,SFG,NL,108,442,396,59,112,25,2,12,63,1,1,38,59,0.283,0.342,0.447,0.789,123,177,13,1,0,7,4,5/3HD,AS
2013,26,SFG,NL,141,584,525,52,146,27,2,14,79,0,0,47,79,0.278,0.341,0.417,0.758,116,219,19,6,0,6,5,*5/HD,
2014,27,SFG,NL,157,638,588,68,164,26,3,16,73,0,0,39,85,0.279,0.324,0.415,0.739,111,244,16,4,0,7,6,*5/DH,
2015,28,BOS,AL,126,505,470,43,115,25,1,10,47,0,0,25,73,0.245,0.292,0.366,0.658,75,172,14,7,1,2,1,*5/H,
2016,29,BOS,AL,3,7,6,0,0,0,0,0,0,0,0,1,4,0,0.143,0,0.143,-57,0,0,0,0,0,0,/5H,
2017,30,TOT,MLB,79,279,259,27,57,11,0,9,32,0,1,16,53,0.22,0.265,0.367,0.632,64,95,11,1,0,3,0,5/3HD4,
2017,30,BOS,AL,32,108,99,10,21,2,0,4,12,0,1,8,24,0.212,0.269,0.354,0.622,62,35,4,0,0,1,0,5/HD4,
2017,30,SFG,NL,47,171,160,17,36,9,0,5,20,0,0,8,29,0.225,0.263,0.375,0.638,66,60,7,1,0,2,0,5/3H,
2018,31,SFG,NL,92,252,230,22,57,10,1,9,40,0,0,19,52,0.248,0.31,0.417,0.727,101,96,9,2,0,1,2,5H3/D41,
2019,32,SFG,NL,108,296,272,42,73,23,0,14,41,1,0,18,67,0.268,0.313,0.507,0.82,113,138,8,1,2,3,2,H53/D1,
2020,33,TOT,NL,34,94,84,5,18,1,0,1,6,0,0,8,19,0.214,0.287,0.262,0.549,54,22,3,1,0,1,0,DH/35,
2020,33,SFG,NL,33,90,82,5,18,1,0,1,6,0,0,6,18,0.22,0.278,0.268,0.546,52,22,3,1,0,1,0,DH/35,
2020,33,ATL,NL,1,4,2,0,0,0,0,0,0,0,0,2,1,0,0.5,0,0.5,50,0,0,0,0,0,0,/5,
2021,34,ATL,NL,69,86,73,11,13,0,0,4,11,0,0,11,25,0.178,0.302,0.342,0.645,,,,,,,,,
